rank,school_district_geoid,school_district_name,school_district_type,county,beds_code,ida_names,num_projects,unique_beneficiaries,total_school_exemption,total_school_pilot_due,total_school_pilot_made,total_school_revenue_lost,annual_school_revenue_lost,pilot_shortfall,total_levy,enrollment,per_pupil_spending,total_budget,true_value_rate,exemption_pct_of_levy,per_pupil_impact,annual_per_pupil_impact,pct_per_pupil_spending,num_donor_beneficiaries,total_donated_from_district,donor_rate,top_beneficiary,top_beneficiary_loss,top_beneficiary_donated,earliest_project,latest_project,st3_matched,flag_high_impact,flag_high_per_pupil,flag_donor_connected,headline
218,3627300,South Huntington Union Free School District,unified,103,580413,Suffolk County Industrial Development Agency,7,1,1344851.54,775724.54,775724.54,569127.0,569127.0,0.0,121832088.0,5700.0,34298.95,195504039.0,0.0,0.4671,99.85,99.85,0.2911,0,0.0,0.0,SUNRISE OF WEST HILLS PROP,569127.0,0.0,08/24/2017,08/24/2017,Yes,No,No,No,"South Huntington Union Free School District lost $569,127 in school property taxes because 7 IDA project(s) received exemptions. The largest beneficiary accounts for $569,127."
219,3607860,Clyde-Savannah Central School District,unified,117,650301,Seneca County Industrial Development Agency|Wayne County Industrial Development Agency,24,3,1288819.96,722666.38,722666.38,566153.58,566153.58,0.0,5269278.0,775.0,32722.92,25360260.0,0.0,10.7444,730.52,730.52,2.2324,0,0.0,0.0,ADVANCED ATOMIZATION TECHNOLOGIES,324789.85,0.0,08/27/2014,09/25/2014,Yes,Yes,Yes,No,"Clyde-Savannah Central School District lost $566,154 in school property taxes because 24 IDA project(s) received exemptions. The largest beneficiary accounts for $324,790."
220,3611550,Freeport Union Free School District,unified,059,280209,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,53,12,2698527.0,2909237.0,2923028.54,563119.46,563119.46,0.0,89159549.0,6750.0,31070.68,209727110.0,0.0,0.6316,83.43,83.43,0.2685,4,611120.08,33.33,COLUMBIA EQUIPMENT,207187.0,0.0,02/24/2022,12/19/2023,Yes,No,No,Yes,"Freeport Union Free School District lost $563,119 in school property taxes because 53 IDA project(s) received exemptions. The largest beneficiary accounts for $207,187."
221,3611400,Frankfort-Schuyler Central School District,unified,043,210402,Herkimer Industrial Development Agency,45,11,1224373.87,664968.65,664968.65,559405.22,559405.22,0.0,8225177.0,888.0,24187.42,21478430.0,0.0,6.8011,629.96,629.96,2.6045,4,3680.0,36.36,WILCOR INTERNATIONAL FOOTHILLS DEVELOPMENT,259824.1,0.0,03/28/2013,12/20/2022,Yes,Yes,Yes,No,"Frankfort-Schuyler Central School District lost $559,405 in school property taxes because 45 IDA project(s) received exemptions. The largest beneficiary accounts for $259,824."
222,3629970,Warwick Valley Central School District,unified,071,442101,Orange County Industrial Development Agency,17,4,771312.32,217316.78,217316.78,553995.54,553995.54,0.0,64334840.0,3653.0,27848.14,101729239.0,0.0,0.8611,151.65,151.65,0.5446,0,0.0,0.0,AEITHAMATTATHIL REALTY ALLSTATE FABRICATION,273742.59,0.0,06/01/2022,06/15/2022,Yes,No,No,No,"Warwick Valley Central School District lost $553,996 in school property taxes because 17 IDA project(s) received exemptions. The largest beneficiary accounts for $273,743."
223,3630240,Watkins Glen Central School District,unified,097,550301,Schuyler County Industrial Development Agency,118,24,1293118.98,757583.99,757583.99,546332.13,546332.13,0.0,9800000.0,910.0,31400.04,28574037.0,0.0,5.5748,600.36,600.36,1.912,5,5930.0,20.83,FLX GATEWAY ENTERPRISES,137304.32,0.0,01/10/2018,12/22/1999,Yes,Yes,Yes,No,"Watkins Glen Central School District lost $546,332 in school property taxes because 118 IDA project(s) received exemptions. The largest beneficiary accounts for $137,304."
224,3600011,Wayland-Cohocton Central School District,unified,101,573002,Steuben County Industrial Development Agency,9,3,891762.2,371916.67,371916.67,519845.53,519845.53,0.0,8265983.0,1331.0,26394.44,35131002.0,0.0,6.289,390.57,390.57,1.4797,1,3563.66,33.33,ANDREW YOUNG,516368.0,3563.66,05/28/2020,10/24/2002,Yes,Yes,No,No,"Wayland-Cohocton Central School District lost $519,846 in school property taxes because 9 IDA project(s) received exemptions. The largest beneficiary accounts for $516,368. That company donated $3,564 to political campaigns while receiving the exemption."
225,3621570,Oceanside Union Free School District,unified,059,280211,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,17,3,1484154.59,997138.4,972782.35,518475.24,518475.24,25191.06,132962189.0,5500.0,30536.7,167951857.0,0.0,0.3899,94.27,94.27,0.3087,1,500.0,33.33,BAGELS BY BELL,297420.24,500.0,09/25/2006,12/20/2021,Yes,No,No,No,"Oceanside Union Free School District lost $518,475 in school property taxes because 17 IDA project(s) received exemptions. The largest beneficiary accounts for $297,420. That company donated $500 to political campaigns while receiving the exemption."
226,3618450,Marathon Central School District,unified,023,110901,Cortland Industrial Development Agency,6,1,600138.16,85762.68,85762.68,514375.48,514375.48,0.0,4303282.0,709.0,28528.46,20226681.0,0.0,11.9531,725.49,725.49,2.5431,0,0.0,0.0,LAPEER CORTLAND SOLAR,514375.48,0.0,07/08/2019,07/08/2019,Yes,Yes,Yes,No,"Marathon Central School District lost $514,375 in school property taxes because 6 IDA project(s) received exemptions. The largest beneficiary accounts for $514,375."
227,3631860,Wyoming Central School District,unified,121,671002,Wyoming County Industrial Development Agency,6,1,1211447.29,720326.06,720326.06,491121.23,491121.23,0.0,2128020.0,147.0,42056.08,6182244.0,0.0,23.0788,3340.96,3340.96,7.9441,0,0.0,0.0,TEXAS BRINE NEW YORK,491121.23,0.0,01/03/2019,01/03/2019,Yes,Yes,Yes,No,"Wyoming Central School District lost $491,121 in school property taxes because 6 IDA project(s) received exemptions. The largest beneficiary accounts for $491,121."
228,3600004,Rotterdam-Mohonasen Central School District,unified,093,530515,Guilderland Industrial Development Agency|Schenectady County Industrial Development Agency,28,4,1979898.94,1510703.09,1510703.09,469195.85,469195.85,0.0,30313796.0,2750.0,21890.91,60200000.0,0.0,1.5478,170.62,170.62,0.7794,1,17300.0,25.0,SCOTIA INDUSTRIAL PARK,344565.14,17300.0,05/30/2014,12/13/2019,Yes,No,No,Yes,"Rotterdam-Mohonasen Central School District lost $469,196 in school property taxes because 28 IDA project(s) received exemptions. The largest beneficiary accounts for $344,565. That company donated $17,300 to political campaigns while receiving the exemption."
229,3617820,Lowville Academy and Central School District,unified,049,230901,Lewis County Industrial Development Agency,29,8,5371739.62,5958481.28,5958481.28,455477.11,455477.11,0.0,4772895.0,1305.0,22036.86,28758099.0,0.0,9.543,349.02,349.02,1.5838,2,11200.0,25.0,ATLANTIC WIND,397243.68,0.0,05/06/2021,11/07/2019,Yes,Yes,No,Yes,"Lowville Academy and Central School District lost $455,477 in school property taxes because 29 IDA project(s) received exemptions. The largest beneficiary accounts for $397,244."
230,3602730,Windsor Central School District,unified,007,031701,Broome Industrial Development Agency,19,4,1216810.33,923545.87,877128.07,451412.57,451412.57,46417.8,16512665.0,1575.0,28627.58,45088432.0,0.0,2.7337,286.61,286.61,1.0012,1,2575.0,25.0,SPIRIT REALTY,295777.95,0.0,03/22/2017,11/28/2018,Yes,No,No,No,"Windsor Central School District lost $451,413 in school property taxes because 19 IDA project(s) received exemptions. The largest beneficiary accounts for $295,778."
231,3617730,Long Beach City School District,unified,059,280300,Nassau County Industrial Development Agency,8,1,1752506.38,1309941.3,1309941.3,442565.08,442565.08,0.0,105880305.0,3552.0,42769.12,151915903.0,0.0,0.418,124.6,124.6,0.2913,1,2500.0,100.0,PINE TOWN HOMES,442565.08,2500.0,06/22/2011,06/22/2011,Yes,No,No,No,"Long Beach City School District lost $442,565 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $442,565. That company donated $2,500 to political campaigns while receiving the exemption."
232,3626310,Scotia-Glenville Central School District,unified,093,530202,Schenectady County Industrial Development Agency,10,2,1704095.42,1263081.75,1263081.75,441013.67,441013.67,0.0,31547351.0,2248.0,26812.7,60274949.0,0.0,1.3979,196.18,196.18,0.7317,0,0.0,0.0,SHADY LANES REALITY,356190.69,0.0,02/20/2013,08/12/2022,Yes,No,No,No,"Scotia-Glenville Central School District lost $441,014 in school property taxes because 10 IDA project(s) received exemptions. The largest beneficiary accounts for $356,191."
233,3630120,Watertown City School District,unified,045,222000,Jefferson Industrial Development Agency,57,9,717468.45,283318.94,283318.94,434149.51,434149.51,0.0,17128139.0,3895.0,21305.02,82983069.0,0.0,2.5347,111.46,111.46,0.5232,2,60311.24,22.22,DAVID GALLO,227550.31,56985.45,02/01/2024,11/06/1997,Yes,No,No,Yes,"Watertown City School District lost $434,150 in school property taxes because 57 IDA project(s) received exemptions. The largest beneficiary accounts for $227,550. That company donated $56,985 to political campaigns while receiving the exemption."
234,3624930,Romulus Central School District,unified,099,560603,Seneca County Industrial Development Agency,24,7,529132.82,100837.56,100837.56,428295.26,428295.26,0.0,5855808.0,425.0,29868.69,12694193.0,0.0,7.314,1007.75,1007.75,3.3739,0,0.0,0.0,FIRSTLIGHT FIBER,263200.25,0.0,01/25/2000,12/30/2020,Yes,Yes,Yes,No,"Romulus Central School District lost $428,295 in school property taxes because 24 IDA project(s) received exemptions. The largest beneficiary accounts for $263,200."
235,3600019,Unadilla Valley Central School District,unified,017,081003,Chenango Industrial Development Agency,6,1,1143614.9,765425.1,717668.65,425946.25,425946.25,47756.45,4640117.0,804.0,29250.3,23517239.0,0.0,9.1796,529.78,529.78,1.8112,0,0.0,0.0,AGRO FARMA NOW CHOBANI,425946.25,0.0,11/10/2010,11/10/2010,Yes,Yes,Yes,No,"Unadilla Valley Central School District lost $425,946 in school property taxes because 6 IDA project(s) received exemptions. The largest beneficiary accounts for $425,946."
236,3624450,Rensselaer City School District,unified,083,491200,City of Rensselaer Industrial Development Agency|Rensselaer County Industrial Development Agency,25,6,776933.05,409212.93,377487.93,423769.81,423769.81,31725.0,8854992.0,1085.0,26435.48,28682495.0,0.0,4.7857,390.57,390.57,1.4775,1,54993.0,16.67,555 ONE,329713.33,0.0,02/28/2008,11/08/2016,Yes,No,No,Yes,"Rensselaer City School District lost $423,770 in school property taxes because 25 IDA project(s) received exemptions. The largest beneficiary accounts for $329,713."
237,3610380,Elba Central School District,unified,037,180901,Genesee County Industrial Development Agency,48,11,646794.5,223883.15,223883.15,422911.35,422911.35,0.0,3268256.0,416.0,26961.42,11215950.0,0.0,12.94,1016.61,1016.61,3.7706,3,16550.0,27.27,WELLSVILLE CARPET TOWN,121916.06,300.0,02/01/2018,11/09/2005,Yes,Yes,Yes,Yes,"Elba Central School District lost $422,911 in school property taxes because 48 IDA project(s) received exemptions. The largest beneficiary accounts for $121,916. That company donated $300 to political campaigns while receiving the exemption."
238,3627360,South Lewis Central School District,unified,049,231101,Lewis County Industrial Development Agency,17,5,498802.0,192486.85,83048.85,421307.15,421307.15,109438.0,9279304.0,970.0,29422.79,28540102.0,0.0,4.5403,434.34,434.34,1.4762,2,10950.0,40.0,LYONSDALE BIOMASS,334272.9,1600.0,01/05/2023,10/29/2009,Yes,No,No,Yes,"South Lewis Central School District lost $421,307 in school property taxes because 17 IDA project(s) received exemptions. The largest beneficiary accounts for $334,273. That company donated $1,600 to political campaigns while receiving the exemption."
239,3614820,Hornell City School District,unified,101,571800,Hornell Industrial Development Agency,71,12,1549990.0,1598783.29,1593655.44,407853.67,407853.67,5619.49,7377393.0,1457.0,27480.57,40039187.0,0.0,5.5284,279.93,279.93,1.0186,3,83715.55,25.0,PETER WALL,102775.67,1850.0,01/01/2018,12/02/2019,Yes,Yes,No,Yes,"Hornell City School District lost $407,854 in school property taxes because 71 IDA project(s) received exemptions. The largest beneficiary accounts for $102,776. That company donated $1,850 to political campaigns while receiving the exemption."
240,3607470,Chittenango Central School District,unified,053,251601,Madison County Industrial Development Agency,12,3,606556.0,203024.0,203024.0,403532.0,403532.0,0.0,19231775.0,1914.0,22476.23,43019509.0,0.0,2.0983,210.83,210.83,0.938,0,0.0,0.0,DONALD BIERSTINE,380541.0,0.0,01/12/2015,11/24/2020,Yes,No,No,No,"Chittenango Central School District lost $403,532 in school property taxes because 12 IDA project(s) received exemptions. The largest beneficiary accounts for $380,541."
241,3618600,Cheektowaga-Maryvale Union Free School District,unified,029,140702,Erie County Industrial Development Agency,17,3,809828.37,410564.7,410564.7,399263.67,399263.67,0.0,22553046.0,2180.0,24121.35,52584539.0,0.0,1.7703,183.15,183.15,0.7593,3,246812.03,100.0,BENDERSON DEVELOPMENT COMPANY,300444.67,202538.03,05/12/2004,07/25/2018,Yes,No,No,Yes,"Cheektowaga-Maryvale Union Free School District lost $399,264 in school property taxes because 17 IDA project(s) received exemptions. The largest beneficiary accounts for $300,445. That company donated $202,538 to political campaigns while receiving the exemption."
242,3626760,Sherrill City School District,unified,065,412000,Oneida County Industrial Development Agency,31,7,1873266.45,1536491.82,1520226.22,381019.78,381019.78,16265.6,15446694.0,1807.0,23917.51,43218941.0,0.0,2.4667,210.86,210.86,0.8816,2,28603.0,28.57,UNIVERSAL PHOTONTICS FACLITIES REALTY MANAGEMENT VERNON,140675.56,0.0,02/18/2011,08/17/2018,Yes,No,No,Yes,"Sherrill City School District lost $381,020 in school property taxes because 31 IDA project(s) received exemptions. The largest beneficiary accounts for $140,676."
243,3618630,Massapequa Union Free School District,unified,059,280523,Nassau County Industrial Development Agency,8,1,787925.29,408459.5,412500.09,377149.02,377149.02,0.0,173692413.0,6470.0,33956.08,219695854.0,0.0,0.2171,58.29,58.29,0.1717,1,40835.0,100.0,INTRALOGIC SOLUTIONS,377149.02,40835.0,08/14/2013,08/14/2013,Yes,No,No,Yes,"Massapequa Union Free School District lost $377,149 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $377,149. That company donated $40,835 to political campaigns while receiving the exemption."
244,3614970,Hudson Falls Central School District,unified,115,101300,Warren and Washington Counties Industrial Development Agency,24,6,668670.04,300112.26,300112.23,368557.81,368557.81,0.03,24958851.0,1651.0,32783.12,54124931.0,0.0,1.4767,223.23,223.23,0.6809,2,32592.63,33.33,354 BROADWAY,349034.48,0.0,02/19/2013,08/17/2015,Yes,No,No,Yes,"Hudson Falls Central School District lost $368,558 in school property taxes because 24 IDA project(s) received exemptions. The largest beneficiary accounts for $349,034."
245,3626430,Seneca Falls Central School District,unified,099,560701,Seneca County Industrial Development Agency,31,8,2210028.5,2153931.31,2153931.31,367136.67,367136.67,0.0,13843807.0,1163.0,29574.31,34394919.0,0.0,2.652,315.68,315.68,1.0674,4,74123.02,50.0,GOULDS PUMPS,159645.21,3000.0,02/02/2017,12/11/1989,Yes,No,No,Yes,"Seneca Falls Central School District lost $367,137 in school property taxes because 31 IDA project(s) received exemptions. The largest beneficiary accounts for $159,645. That company donated $3,000 to political campaigns while receiving the exemption."
246,3625650,Sandy Creek Central School District,unified,075,461901,Oswego County Industrial Development Agency,13,3,403062.0,45125.0,45125.0,366102.0,366102.0,0.0,7038347.0,762.0,33180.1,25283238.0,0.0,5.2015,480.45,480.45,1.448,0,0.0,0.0,HOWLAND SOLAR,199543.0,0.0,08/24/2018,12/20/2019,Yes,Yes,No,No,"Sandy Creek Central School District lost $366,102 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $199,543."
247,3623340,Pocantico Hills Central School District,unified,119,660802,Westchester County Industrial Development Agency,8,1,714692.0,351959.0,351959.0,362733.0,362733.0,0.0,25432000.0,452.0,65762.78,29724775.0,0.0,1.4263,802.51,802.51,1.2203,0,0.0,0.0,MAGNETIC ANALYSIS CORPORATION,362733.0,0.0,12/03/2009,12/03/2009,Yes,No,Yes,No,"Pocantico Hills Central School District lost $362,733 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $362,733."
248,3627210,South Colonie Central School District,unified,001,010601,Albany City Industrial Development Agency|Colonie Industrial Development Agency,13,2,451743.17,92644.72,92644.72,359098.45,359098.45,0.0,76548708.0,4870.0,23297.51,113458885.0,0.0,0.4691,73.74,73.74,0.3165,0,0.0,0.0,AFRIM REALTY COMPANY AND AFRIM SPORTS,359098.45,0.0,10/17/2017,12/20/2007,Yes,No,No,No,"South Colonie Central School District lost $359,098 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $359,098."
249,3615180,Hyde Park Central School District,unified,027,130801,Dutchess County Industrial Development Agency,31,7,1045233.82,690337.72,690337.72,354896.1,354896.1,0.0,65932726.0,3316.0,31898.06,105773963.0,0.0,0.5383,107.03,107.03,0.3355,1,500.0,14.29,REYNOLDS ASSET MANAGEMENT,321611.86,0.0,01/08/2020,12/09/2020,Yes,No,No,No,"Hyde Park Central School District lost $354,896 in school property taxes because 31 IDA project(s) received exemptions. The largest beneficiary accounts for $321,612."
250,3616740,Lansingburgh Central School District,unified,083,610801,Troy Industrial Development Authority,11,4,387339.23,44000.44,44000.44,343338.79,343338.79,0.0,22233595.0,1198.0,28421.31,34048725.0,0.0,1.5442,286.59,286.59,1.0084,0,0.0,0.0,LION FACTORY BUILDING,256297.03,0.0,02/13/2024,08/21/2020,Yes,No,No,No,"Lansingburgh Central School District lost $343,339 in school property taxes because 11 IDA project(s) received exemptions. The largest beneficiary accounts for $256,297."
251,3610920,Falconer Central School District,unified,013,061101,Chautauqua Industrial Development Agency,31,7,631638.88,288806.91,288806.91,342831.97,342831.97,0.0,7133890.0,1075.0,25204.65,27095000.0,0.0,4.8057,318.91,318.91,1.2653,2,22766.84,28.57,JON GREN JR,106000.0,350.0,02/21/2012,12/17/2019,Yes,No,No,Yes,"Falconer Central School District lost $342,832 in school property taxes because 31 IDA project(s) received exemptions. The largest beneficiary accounts for $106,000. That company donated $350 to political campaigns while receiving the exemption."
252,3605940,Burnt Hills-Ballston Lake Central School District,unified,093,520101,Saratoga County Industrial Development Agency|Schenectady County Industrial Development Agency,23,5,732646.37,422604.74,422604.74,329615.49,329615.49,0.0,44421597.0,3100.0,24720.88,76634726.0,0.0,0.742,106.33,106.33,0.4301,1,30175.0,20.0,CORE TECH INDUSTRIAL,214354.05,0.0,01/20/2023,08/16/2022,Yes,No,No,Yes,"Burnt Hills-Ballston Lake Central School District lost $329,615 in school property taxes because 23 IDA project(s) received exemptions. The largest beneficiary accounts for $214,354."
253,3604290,Beekmantown Central School District,unified,019,090301,Clinton County Industrial Development Agency,35,7,1206776.7,877256.27,877256.27,329520.44,329520.44,0.0,23065694.0,1930.0,25390.22,49003123.0,0.0,1.4286,170.74,170.74,0.6724,4,2180.0,57.14,NY PLATTSBURGH I,180590.57,0.0,05/09/2008,10/01/2009,Yes,No,No,No,"Beekmantown Central School District lost $329,520 in school property taxes because 35 IDA project(s) received exemptions. The largest beneficiary accounts for $180,591."
254,3630210,Watervliet City School District,unified,001,011200,Albany County Industrial Development Agency|Colonie Industrial Development Agency,18,3,619081.98,379446.97,379446.97,327947.01,327947.01,0.0,7426000.0,1450.0,23266.21,33736000.0,0.0,4.4162,226.17,226.17,0.9721,1,4000.0,33.33,LINCOLN AVENUE DEVELOPMENT,169507.33,4000.0,01/23/2023,12/21/2020,Yes,No,No,No,"Watervliet City School District lost $327,947 in school property taxes because 18 IDA project(s) received exemptions. The largest beneficiary accounts for $169,507. That company donated $4,000 to political campaigns while receiving the exemption."
255,3611070,Fillmore Central School District,unified,003,022001,Allegany Industrial Development Agency,19,4,489324.92,365628.72,163544.27,325780.65,325780.65,202084.45,2605721.0,629.0,29025.81,18257236.0,0.0,12.5025,517.93,517.93,1.7844,1,125.0,25.0,ALLEGANY GENERATING STATION,286704.15,0.0,02/07/2013,04/23/2009,Yes,Yes,Yes,No,"Fillmore Central School District lost $325,781 in school property taxes because 19 IDA project(s) received exemptions. The largest beneficiary accounts for $286,704."
256,3611520,Fredonia Central School District,unified,013,062201,Chautauqua Industrial Development Agency,13,5,365841.7,71616.41,71616.41,315528.3,315528.3,0.0,16382148.0,1542.0,20706.89,31930024.0,0.0,1.926,204.62,204.62,0.9882,1,290.0,20.0,STEVE ST GEORGE,211506.47,290.0,07/27/2021,12/01/2021,Yes,No,No,No,"Fredonia Central School District lost $315,528 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $211,506. That company donated $290 to political campaigns while receiving the exemption."
257,3605460,Brighton Central School District,unified,055,260101,Monroe Industrial Development Agency,38,9,1072588.68,761910.38,761910.38,310678.3,310678.3,0.0,57931204.0,3353.0,27782.21,93153759.0,0.0,0.5363,92.66,92.66,0.3335,1,12650.0,11.11,GALLINA CAMBRIDGE 1892 WINTON,196224.84,0.0,02/20/2018,12/18/2007,Yes,No,No,Yes,"Brighton Central School District lost $310,678 in school property taxes because 38 IDA project(s) received exemptions. The largest beneficiary accounts for $196,225."
258,3614670,Honeoye Central School District,unified,069,431401,Ontario County Industrial Development Agency,8,1,386685.19,77138.66,77138.26,309546.93,309546.93,0.4,9863649.0,574.0,32895.15,18881815.0,0.0,3.1383,539.28,539.28,1.6394,0,0.0,0.0,ONTARIO HOLDINGS,309546.93,0.0,08/10/2015,08/10/2015,Yes,No,Yes,No,"Honeoye Central School District lost $309,547 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $309,547."
259,3617940,Lyncourt Union Free School District,unified,067,421504,Onondaga County Industrial Development Agency,14,1,3875655.94,4184847.7,4184847.7,307749.42,307749.42,0.0,6524345.0,573.0,23298.43,13350000.0,0.0,4.7169,537.08,537.08,2.3052,1,5345.0,100.0,SOUTHERN WINE SPIRITS,307749.42,5345.0,05/13/2010,09/14/2006,Yes,No,Yes,No,"Lyncourt Union Free School District lost $307,749 in school property taxes because 14 IDA project(s) received exemptions. The largest beneficiary accounts for $307,749. That company donated $5,345 to political campaigns while receiving the exemption."
260,3611490,Franklinville Central School District,unified,009,041101,Cattaraugus Industrial Development Agency,13,3,576070.34,276323.34,276319.34,304271.0,304271.0,4.0,4300000.0,670.0,30783.68,20625065.0,0.0,7.0761,454.14,454.14,1.4752,1,1950.0,33.33,KENNETH TRBOVICH PRESIDENT CEO,301674.0,0.0,07/23/2013,12/13/2022,Yes,Yes,No,No,"Franklinville Central School District lost $304,271 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $301,674."
261,3608970,Yorkshire-Pioneer Central School District,unified,121,043501,Erie County Industrial Development Agency|Wyoming County Industrial Development Agency,41,10,885789.38,512603.22,621859.09,299861.08,299861.08,70986.43,13831000.0,2161.0,28879.45,62408491.0,0.0,2.168,138.76,138.76,0.4805,2,15747.0,20.0,SNYDER CORPORATION,222432.26,15447.0,02/09/2012,11/09/2017,Yes,No,No,Yes,"Yorkshire-Pioneer Central School District lost $299,861 in school property taxes because 41 IDA project(s) received exemptions. The largest beneficiary accounts for $222,432. That company donated $15,447 to political campaigns while receiving the exemption."
262,3606390,Canastota Central School District,unified,053,250901,Madison County Industrial Development Agency|Oneida County Industrial Development Agency,16,4,516398.63,227853.85,227853.85,299477.26,299477.26,0.0,13136841.0,1325.0,26650.27,35311605.0,0.0,2.2797,226.02,226.02,0.8481,2,5450.0,50.0,DUTCHLAND PLASTICS,248905.0,200.0,01/18/2018,12/16/2005,Yes,No,No,No,"Canastota Central School District lost $299,477 in school property taxes because 16 IDA project(s) received exemptions. The largest beneficiary accounts for $248,905. That company donated $200 to political campaigns while receiving the exemption."
263,3608580,Croton-Harmon Union Free School District,unified,119,660202,Westchester County Industrial Development Agency,8,1,297676.0,0.0,0.0,297676.0,297676.0,0.0,42221342.0,1536.0,34291.74,52672111.0,0.0,0.705,193.8,193.8,0.5651,0,0.0,0.0,CROTON HOUSING DEVELOPMENT FUND COMPANY,297676.0,0.0,10/04/2007,10/04/2007,Yes,No,No,No,"Croton-Harmon Union Free School District lost $297,676 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $297,676."
264,3606630,Carthage Central School District,unified,049,222201,Jefferson Industrial Development Agency|Lewis County Industrial Development Agency,24,6,447486.11,182085.64,152508.97,294977.14,294977.14,29576.67,6591154.0,3000.0,22360.73,67082204.0,0.0,4.4753,98.33,98.33,0.4397,0,0.0,0.0,METRO PAPER INDUSTRIES,238084.49,0.0,03/04/2004,12/15/2004,Yes,No,No,No,"Carthage Central School District lost $294,977 in school property taxes because 24 IDA project(s) received exemptions. The largest beneficiary accounts for $238,084."
265,3610950,Fallsburg Central School District,unified,105,590501,Sullivan County Industrial Development Agency,47,9,650440.8,504271.69,504271.69,285479.61,285479.61,0.0,19409282.0,1462.0,35914.47,52506954.0,0.0,1.4708,195.27,195.27,0.5437,1,11100.0,11.11,MOUNTAIN CANDY CIGAR COMPANY,163237.6,11100.0,01/08/2024,12/06/2010,Yes,No,No,Yes,"Fallsburg Central School District lost $285,480 in school property taxes because 47 IDA project(s) received exemptions. The largest beneficiary accounts for $163,238. That company donated $11,100 to political campaigns while receiving the exemption."
266,3627000,Cheektowaga-Sloan Union Free School District,unified,029,140709,Erie County Industrial Development Agency|Schuyler County Industrial Development Agency,13,2,1052724.31,769720.03,769720.03,283004.28,283004.28,0.0,15617553.0,1380.0,27648.42,38154824.0,0.0,1.8121,205.08,205.08,0.7417,2,2750.0,100.0,SENECA MARKET I,261710.36,2500.0,02/08/2006,09/12/2005,Yes,No,No,No,"Cheektowaga-Sloan Union Free School District lost $283,004 in school property taxes because 13 IDA project(s) received exemptions. The largest beneficiary accounts for $261,710. That company donated $2,500 to political campaigns while receiving the exemption."
267,3621660,Ogdensburg City School District,unified,089,512300,St. Lawrence County Industrial Development Agency,39,8,380439.0,118037.0,116364.87,280355.13,280355.13,1672.13,10598360.0,1537.0,34832.57,53537655.0,0.0,2.6453,182.4,182.4,0.5237,2,785.0,25.0,DEFELSKO CORPORATION BEAMKO,159058.0,0.0,03/28/2017,10/24/2013,Yes,No,No,No,"Ogdensburg City School District lost $280,355 in school property taxes because 39 IDA project(s) received exemptions. The largest beneficiary accounts for $159,058."
268,3602820,Altmar-Parish-Williamstown Central School District,unified,075,460102,Oswego County Industrial Development Agency,8,1,526518.0,253612.0,253612.0,272906.0,272906.0,0.0,6313263.0,1061.0,32987.25,34999473.0,0.0,4.3227,257.22,257.22,0.7797,1,1550.0,100.0,ALTMAR GENESEE,272906.0,1550.0,04/27/2016,04/27/2016,Yes,No,No,No,"Altmar-Parish-Williamstown Central School District lost $272,906 in school property taxes because 8 IDA project(s) received exemptions. The largest beneficiary accounts for $272,906. That company donated $1,550 to political campaigns while receiving the exemption."
269,3611160,Floral Park-Bellerose Union Free School District,elementary,059,280222,Hempstead Industrial Development Agency,3,2,416171.0,145368.0,145368.0,270803.0,270803.0,0.0,26323350.0,1655.0,21760.22,36013163.0,0.0,1.0288,163.63,163.63,0.752,1,250.0,50.0,VERBENA ASSOCIATES,270803.0,0.0,05/27/2015,12/19/2023,Yes,No,No,No,"Floral Park-Bellerose Union Free School District lost $270,803 in school property taxes because 3 IDA project(s) received exemptions. The largest beneficiary accounts for $270,803."
270,3624660,Ripley Central School District,unified,013,062401,Chautauqua Industrial Development Agency,4,2,367624.81,97356.6,97356.6,270268.21,270268.21,0.0,1863681.0,246.0,39163.1,9634122.0,0.0,14.5018,1098.65,1098.65,2.8053,0,0.0,0.0,LOVE S TRAVEL STOPS COUNTRY STORES,270268.21,0.0,01/24/2023,08/01/2021,Yes,Yes,Yes,No,"Ripley Central School District lost $270,268 in school property taxes because 4 IDA project(s) received exemptions. The largest beneficiary accounts for $270,268."
271,3629790,Wallkill Central School District,unified,111,621801,Ulster County Industrial Development Agency,7,1,314208.31,50620.33,47452.18,266756.13,266756.13,3168.15,45784030.0,2800.0,29183.56,81713970.0,0.0,0.5826,95.27,95.27,0.3265,0,0.0,0.0,DOUGLAS POSEY III PRESIDENT,266756.13,0.0,12/14/2016,12/14/2016,Yes,No,No,No,"Wallkill Central School District lost $266,756 in school property taxes because 7 IDA project(s) received exemptions. The largest beneficiary accounts for $266,756."
